monday,exit_date,expiry,entry_time,exit_time,underlying_exit_reason,spy_open,spy_exit,atm,lp_K,sp_K,sc_K,lc_K,lp_entry,sp_entry,sc_entry,lc_entry,lp_exit,sp_exit,sc_exit,lc_exit,net_credit_open,net_credit_close,max_profit,max_loss,exit_reason,pnl,cum_pnl
2024-01-22,2024-01-25,2024-01-26,09:51,15:00,scheduled,484.87,486.58,485,475,485,485,495,0.26,2.72,1.89,0.08,0.03,0.67,2.36,0.03,4.27,2.97,42700.0,57300.0,scheduled,13000.0,13000.0
2024-01-29,2024-02-01,2024-02-02,09:54,15:00,scheduled,487.94,488.46,488,478,488,488,498,0.54,3.09,3.47,0.38,0.07,1.67,2.2,0.05,5.64,3.75,56400.0,43600.0,scheduled,18900.0,31900.0
2024-02-12,2024-02-13,2024-02-16,09:59,15:04,underlying_breach,501.41,491.06,501,491,501,501,511,0.33,2.36,3.23,0.23,2.49,9.98,0.22,0.03,5.03,7.68,50300.0,49700.0,scheduled,-26500.0,5400.0
2024-02-26,2024-02-29,2024-03-01,09:42,15:00,scheduled,508.52,507.85,509,499,509,509,519,0.45,2.98,2.47,0.15,0.05,1.96,0.87,0.01,4.85,2.77,48500.0,51500.0,scheduled,20800.0,26200.0
2024-03-04,2024-03-07,2024-03-08,09:57,15:00,scheduled,512.54,514.32,513,503,513,513,523,0.45,2.83,2.78,0.17,0.07,1.36,2.79,0.07,4.99,4.01,49900.0,50100.0,scheduled,9800.0,36000.0
2024-03-11,2024-03-14,2024-03-15,09:44,15:00,scheduled,510.53,513.58,511,501,511,511,521,1.15,4.56,2.88,0.39,0.09,0.79,3.79,0.03,5.9,4.46,59000.0,41000.0,scheduled,14400.0,50400.0
2024-03-25,2024-03-28,2024-04-05,09:39,15:00,scheduled,520.27,524.22,520,510,520,520,530,0.94,3.1,4.56,0.74,0.25,1.52,5.05,0.57,5.98,5.75,59800.0,40200.0,scheduled,2300.0,52700.0
2024-04-01,2024-04-04,2024-04-05,09:54,15:00,scheduled,523.95,514.97,524,514,524,524,534,0.35,3.28,2.02,0.14,2.88,10.74,0.1,0.01,4.81,7.95,48100.0,51900.0,scheduled,-31400.0,21300.0
2024-04-08,2024-04-11,2024-04-12,09:58,15:00,scheduled,518.84,518.89,519,509,519,519,529,0.9,2.99,4.31,0.51,0.08,2.15,1.17,0.02,5.89,3.22,58900.0,41100.0,scheduled,26700.0,48000.0
2024-04-22,2024-04-25,2024-04-26,09:55,15:00,scheduled,497.81,502.66,498,488,498,498,508,1.24,4.65,3.25,0.43,0.05,0.47,6.55,0.88,6.23,6.09,62300.0,37700.0,scheduled,1400.0,49400.0
2024-04-29,2024-05-02,2024-05-03,09:56,15:00,scheduled,509.24,505.4,509,499,509,509,519,0.72,3.15,4.51,0.72,0.37,4.84,0.98,0.01,6.22,5.44,62200.0,37800.0,scheduled,7800.0,57200.0
2024-05-06,2024-05-09,2024-05-10,09:49,15:00,scheduled,514.3,519.85,514,504,514,514,524,0.32,2.35,3.14,0.19,0.01,0.07,6.25,0.06,4.98,6.25,49800.0,50200.0,scheduled,-12700.0,44500.0
2024-05-13,2024-05-16,2024-05-17,09:55,10:50,underlying_breach,521.5,530.89,521,511,521,521,531,0.38,2.96,3.65,0.48,0.01,0.04,7.57,1.24,5.75,6.36,57500.0,42500.0,scheduled,-6100.0,38400.0
2024-05-20,2024-05-23,2024-05-24,09:46,15:00,scheduled,530.28,525.16,530,520,530,530,540,0.31,1.98,3.73,0.27,0.15,4.3,0.18,0.01,5.13,4.32,51300.0,48700.0,scheduled,8100.0,46500.0
2024-06-03,2024-06-06,2024-06-07,09:39,15:00,scheduled,528.72,534.42,529,519,529,529,539,0.65,3.6,2.36,0.14,0.02,0.22,5.77,0.27,5.17,5.7,51700.0,48300.0,scheduled,-5300.0,41200.0
2024-06-10,2024-06-12,2024-06-14,09:55,10:14,underlying_breach,532.89,543.13,533,523,533,533,543,0.55,3.08,4.31,0.59,0.04,0.3,8.8,2.7,6.25,6.36,62500.0,37500.0,scheduled,-1100.0,40100.0
2024-06-17,2024-06-20,2024-06-21,09:39,15:00,scheduled,542.2,547.09,542,532,542,542,552,0.44,2.76,2.68,0.08,0.05,0.47,4.8,0.07,4.92,5.15,49200.0,50800.0,scheduled,-2300.0,37800.0
2024-06-24,2024-06-27,2024-06-28,09:39,15:00,scheduled,544.39,545.38,544,534,544,544,554,0.22,1.75,4.37,0.23,0.03,0.53,3.06,0.02,5.67,3.54,56700.0,43300.0,scheduled,21300.0,59100.0
2024-07-01,2024-07-05,2024-07-05,09:56,13:33,underlying_breach,544.43,554.02,544,534,544,544,554,0.2,2.9,2.41,0.09,0.01,0.01,10.19,0.4,5.02,9.79,50200.0,49800.0,stop_loss_80pct,-47700.0,11400.0
2024-07-08,2024-07-11,2024-07-12,09:59,15:00,scheduled,555.88,557.24,556,546,556,556,566,0.43,2.97,2.55,0.16,0.04,1.17,1.66,0.02,4.93,2.77,49300.0,50700.0,scheduled,21600.0,33000.0
2024-07-15,2024-07-18,2024-07-19,09:59,14:39,underlying_breach,561.75,551.87,562,552,562,562,572,0.26,1.84,4.0,0.36,1.66,9.07,0.09,0.01,5.22,7.49,52200.0,47800.0,scheduled,-22700.0,10300.0
2024-07-22,2024-07-24,2024-07-26,09:44,14:42,underlying_breach,553.43,542.92,553,543,553,553,563,0.78,2.7,4.4,0.56,3.08,10.93,0.34,0.08,5.76,8.11,57600.0,42400.0,scheduled,-23500.0,-13200.0
2024-07-29,2024-08-01,2024-08-02,09:43,15:00,scheduled,545.54,540.01,546,536,546,546,556,1.56,5.01,4.86,1.12,0.92,5.84,2.04,0.15,7.19,6.81,71900.0,28100.0,scheduled,3800.0,-9400.0
2024-08-12,2024-08-13,2024-08-16,10:00,12:50,underlying_breach,531.44,540.97,531,521,531,531,541,1.23,3.18,7.74,2.18,0.28,1.52,12.36,3.87,7.51,9.73,75100.0,24900.0,scheduled,-22200.0,-31600.0
2024-08-19,2024-08-22,2024-08-23,09:51,15:00,scheduled,555.1,556.29,555,545,555,555,565,0.5,2.58,4.17,0.41,0.08,1.78,3.21,0.1,5.84,4.81,58400.0,41600.0,scheduled,10300.0,-21300.0
2024-08-26,2024-08-29,2024-08-30,10:00,15:00,scheduled,563.02,557.78,563,553,563,563,573,1.18,4.62,3.23,0.41,0.24,4.39,0.41,0.01,6.26,4.55,62600.0,37400.0,scheduled,17100.0,-4200.0
2024-09-16,2024-09-19,2024-09-20,09:42,09:30,underlying_breach,560.97,570.64,561,551,561,561,571,1.76,4.94,4.36,0.63,0.16,0.48,9.72,2.05,6.91,7.99,69100.0,30900.0,scheduled,-10800.0,-15000.0
2024-09-23,2024-09-26,2024-09-27,09:42,15:00,scheduled,568.87,572.17,569,559,569,569,579,0.57,2.66,3.52,0.28,0.03,0.36,3.94,0.04,5.33,4.23,53300.0,46700.0,scheduled,11000.0,-4000.0
2024-09-30,2024-10-03,2024-10-04,09:49,15:00,scheduled,571.14,566.57,571,561,571,571,581,1.18,3.82,4.82,0.77,0.71,4.31,1.35,0.02,6.69,4.93,66900.0,33100.0,scheduled,17600.0,13600.0
2024-10-07,2024-10-10,2024-10-11,09:43,15:00,scheduled,571.25,575.32,571,561,571,571,581,1.19,3.74,4.64,0.66,0.03,0.35,5.71,0.13,6.53,5.9,65300.0,34700.0,scheduled,6300.0,19900.0
2024-10-14,2024-10-17,2024-10-18,09:55,15:00,scheduled,582.76,583.25,583,573,583,583,593,0.77,2.89,3.58,0.14,0.08,1.58,1.38,0.01,5.56,2.87,55600.0,44400.0,scheduled,26900.0,46800.0
2024-10-21,2024-10-24,2024-10-25,09:52,15:00,scheduled,584.23,578.66,584,574,584,584,594,0.65,3.39,2.6,0.12,0.26,4.2,0.15,0.01,5.22,4.08,52200.0,47800.0,scheduled,11400.0,58200.0
2024-10-28,2024-10-31,2024-11-01,09:46,10:28,underlying_breach,581.64,571.97,582,572,582,582,592,1.12,3.8,4.67,0.79,3.24,12.6,0.19,0.01,6.56,9.54,65600.0,34400.0,scheduled,-29800.0,28400.0
2024-11-04,2024-11-06,2024-11-08,09:49,09:30,underlying_breach,571.38,587.95,571,561,571,571,581,3.45,6.85,7.78,3.02,0.13,0.33,17.65,8.73,8.16,9.12,81600.0,18400.0,scheduled,-9600.0,18800.0
2024-11-11,2024-11-14,2024-11-15,09:54,15:00,scheduled,599.38,594.47,599,589,599,599,609,0.77,3.05,3.87,0.61,0.28,4.26,0.3,0.01,5.54,4.27,55400.0,44600.0,scheduled,12700.0,31500.0
2024-11-18,2024-11-21,2024-11-22,09:56,15:00,scheduled,585.68,594.66,586,576,586,586,596,1.28,3.98,4.32,0.75,0.06,0.17,8.06,1.26,6.27,6.91,62700.0,37300.0,scheduled,-6400.0,25100.0
2024-11-25,2024-11-29,2024-11-29,09:43,14:59,scheduled,600.74,602.6,601,591,601,601,611,0.45,2.53,2.71,0.17,0.01,0.01,1.45,0.01,4.62,1.44,46200.0,53800.0,scheduled,31800.0,56900.0
2024-12-02,2024-12-05,2024-12-06,09:55,15:00,scheduled,602.89,607.09,603,593,603,603,613,0.53,2.93,3.28,0.21,0.05,0.38,3.87,0.06,5.47,4.14,54700.0,45300.0,scheduled,13300.0,70200.0
2024-12-09,2024-12-12,2024-12-13,10:00,15:00,scheduled,607.48,605.07,607,597,607,607,617,0.33,2.18,3.09,0.14,0.08,2.18,0.58,0.01,4.8,2.67,48000.0,52000.0,scheduled,21300.0,91500.0
2024-12-16,2024-12-18,2024-12-20,09:39,15:03,underlying_breach,605.76,595.68,606,596,606,606,616,0.79,3.73,2.6,0.14,4.59,12.0,0.39,0.05,5.4,7.75,54000.0,46000.0,scheduled,-23500.0,68000.0
2024-12-23,2024-12-24,2024-12-27,09:53,10:36,underlying_breach,589.44,598.74,589,579,589,589,599,1.55,4.01,4.95,0.75,0.06,0.4,10.5,2.08,6.66,8.76,66600.0,33400.0,scheduled,-21000.0,47000.0
2025-01-13,2025-01-15,2025-01-17,09:41,09:30,underlying_breach,575.7,590.03,576,566,576,576,586,2.18,5.53,5.61,1.58,0.13,0.44,14.64,6.2,7.38,8.75,73800.0,26200.0,scheduled,-13700.0,33300.0
2025-02-10,2025-02-13,2025-02-14,10:00,15:00,scheduled,603.51,608.9,604,594,604,604,614,1.26,4.0,3.92,0.38,0.05,0.45,5.98,0.11,6.28,6.27,62800.0,37200.0,scheduled,100.0,33400.0
2025-02-24,2025-02-25,2025-02-28,09:42,10:25,underlying_breach,601.21,591.57,601,591,601,601,611,1.53,4.34,5.06,0.85,4.8,10.8,1.59,0.15,7.02,7.44,70200.0,29800.0,scheduled,-4200.0,29200.0
2025-03-03,2025-03-03,2025-03-07,09:54,15:03,underlying_breach,594.11,584.04,594,584,594,594,604,1.88,5.46,6.03,1.57,6.14,11.84,2.15,0.32,8.04,7.53,80400.0,19600.0,scheduled,5100.0,34300.0
2025-03-17,2025-03-20,2025-03-21,09:45,15:00,scheduled,565.9,565.22,566,556,566,566,576,2.92,6.59,5.26,1.39,0.38,3.48,1.85,0.06,7.54,4.89,75400.0,24600.0,scheduled,26500.0,60800.0
2025-04-28,2025-04-30,2025-05-02,09:48,09:42,underlying_breach,553.34,542.9,553,543,553,553,563,3.38,7.29,5.98,1.81,4.33,3.39,2.54,0.46,8.08,1.14,80800.0,19200.0,scheduled,69400.0,130200.0
2025-05-05,2025-05-08,2025-05-09,09:47,15:00,scheduled,562.3,567.88,562,552,562,562,572,1.82,5.65,6.38,2.26,0.13,1.19,4.91,0.53,7.95,5.44,79500.0,20500.0,scheduled,25100.0,155300.0
2025-05-19,2025-05-22,2025-05-23,09:59,15:00,scheduled,591.29,585.9,591,581,591,591,601,2.24,3.97,5.23,0.64,1.37,7.86,0.23,0.02,6.32,6.7,63200.0,36800.0,scheduled,-3800.0,151500.0
2025-06-02,2025-06-05,2025-06-06,09:45,15:00,scheduled,589.29,595.26,589,579,589,589,599,1.67,4.65,4.75,0.94,0.15,1.19,5.95,0.7,6.79,6.29,67900.0,32100.0,scheduled,5000.0,156500.0
2025-06-09,2025-06-12,2025-06-13,09:55,15:00,scheduled,599.41,603.28,599,589,599,599,609,1.1,3.77,4.47,0.78,0.08,0.56,5.18,0.14,6.36,5.52,63600.0,36400.0,scheduled,8400.0,164900.0
2025-06-16,2025-06-20,2025-06-20,09:42,15:00,scheduled,601.55,593.64,602,592,602,602,612,1.34,3.85,4.64,0.27,0.01,7.54,0.01,0.01,6.88,7.53,68800.0,31200.0,scheduled,-6500.0,158400.0
